area_sqft,bedrooms,bathrooms,age_years,parking_spaces,floor,balcony,distance_city_km,location_score,garden,renovated,price_lakh
850,2,1,18,0,1,0,14,5,0,0,42
920,2,1,15,1,2,1,12,5,0,0,46
1050,2,2,12,1,3,1,10,6,1,1,55
1100,3,2,20,1,1,0,15,4,0,0,53
1250,3,2,10,1,4,1,9,6,1,1,67
1350,3,2,8,2,2,1,8,7,1,1,75
1450,3,2,15,1,5,0,13,5,0,0,72
1550,3,2,7,2,3,1,7,7,1,1,86
1650,3,3,5,2,6,1,6,8,0,1,94
1750,4,3,12,2,2,1,11,6,1,0,91
1850,4,3,6,1,4,0,9,7,0,1,101
1950,4,3,10,2,7,1,6,8,1,1,112
2100,4,3,4,2,3,1,8,7,1,1,118
2250,4,3,8,2,5,0,5,8,0,0,130
2400,4,3,3,3,8,1,7,8,1,1,143
2550,4,4,5,2,4,1,4,9,1,1,158
2700,5,4,7,3,6,0,6,8,0,0,165
2900,5,4,2,3,9,1,3,9,1,1,182
3100,5,4,4,3,5,1,5,9,1,1,195
3350,5,4,6,2,7,0,4,8,0,0,201
3600,5,5,1,3,10,1,2,10,1,1,225
3900,5,5,3,3,6,1,3,9,1,1,238
4200,6,5,2,4,8,1,2,10,1,1,265
4500,6,5,1,4,12,1,1,10,1,1,292
