area_sqft,bedrooms,bathrooms,age_years,distance_city_km,parking_spaces,floor,balcony_sqft,near_metro,renovation_score,price_lakh
850,2,1,25,14.5,0,1,40,0,4,48
920,2,1,22,13.8,1,2,45,0,5,52
1100,2,2,20,12.5,1,2,50,0,5,63
1250,3,2,18,11.7,1,3,55,0,6,72
1350,3,2,16,10.8,1,3,60,1,6,78
1450,3,2,15,10.2,2,4,65,1,7,88
1600,3,3,14,9.5,1,2,70,0,6,96
1750,3,3,12,8.7,2,5,75,1,7,108
1900,4,3,11,8.0,2,4,80,1,7,121
2100,4,3,10,7.2,2,6,85,1,8,132
2300,4,3,9,6.8,2,5,90,1,7,148
2500,4,4,8,6.1,2,7,95,1,8,165
2700,4,4,7,5.5,3,6,100,1,8,181
2900,4,4,6,4.9,2,8,105,1,8,202
3100,5,4,6,4.3,3,7,110,1,9,218
3300,5,5,5,3.8,3,9,120,1,8,238
3500,5,5,4,3.2,3,8,125,1,9,260
3800,5,5,3,2.7,3,10,130,1,9,285
4100,5,6,2,2.1,3,9,140,1,10,315
4500,6,6,1,1.5,4,12,150,1,10,355
